"El Catálogo Nacional de Códigos Postales, es elaborado por Correos de México y se proporciona en forma gratuita para uso particular, no estando permitida su comercialización, total o parcial, ni su distribución a terceros bajo ningún concepto.",,,,,,
Código Postal,Estado,Municipio,Ciudad,Tipo de Asentamiento,Asentamiento,Clave de Oficina
91017,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Unidad del Bosque Pensiones,91002
91017,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Magisterial,91002
91017,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Virginia Cordero de Murillo Vidal,91002
91017,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Rafael Hernández Ochoa,91002
91017,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Ampliación Rafael Murillo Vidal,91002
91018,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Veracruz,91002
91018,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Dolores Hidalgo,91002
91018,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Fernando Gutiérrez Barrios,91002
91018,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Manantiales,91002
91018,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Plan de Ayala,91002
91018,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Renacimiento,91002
91018,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Diamante,91002
91020,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Adolfo López Mateos,91002
91020,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Obrero Campesina,91002
91020,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Veracruz,91002
91023,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Lomas Del Seminario,91002
91023,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Unidad habitacional,Fovissste,91002
91023,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Presa de San Bruno,91002
91023,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Empleados Municipales,91002
91024,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Los Encinos,91002
91024,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,UCISVER,91002
91024,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,UNE PRI,91002
91024,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Unidad y Progreso,91002
91024,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,La Pedreguera,91002
91024,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,24 de Abril,91002
91025,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Arroyo Blanco,91002
91025,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Villa Real,91002
91025,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Josefa Ortiz de Domínguez,91002
91025,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Barranca Honda,91002
91025,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,14 de Febrero,91002
91026,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Francisco Ferrer Guardia,91002
91026,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Los Pinos,91002
91026,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Cerro Colorado,91002
91027,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Las Flores,91002
91027,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Acueducto,91002
91027,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Desarrollo Social San Bruno,91002
91027,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Montevideo,91002
91027,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Dante Delgado Ranauro,91002
91027,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Valle del Sol,91002
91028,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Olmeca,91002
91030,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Del Maestro,91002
91030,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,José Cardel,91002
91033,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,2 de Abril,91002
91033,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Maria Esther,91002
91037,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Los Laureles,91002
91040,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,La Piedad,91002
91040,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Modelo,91002
91040,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Unidad Pomona,91002
91040,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Pumar,91002
91045,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Unidad habitacional,Agua Santa INFONAVIT,91002
91045,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Castillo de las Animas,91002
91045,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Badillo,91002
91046,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Ingeniero Rivadeneyra,91002
91047,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Loma Del Puente,91002
91048,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Las Arboledas,91002
91049,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Unidad habitacional,INFONAVIT Pomona,91002
91050,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Unidad Veracruzana,91002
91050,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Represa Del Carmen,91002
91050,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Tamborrel,91002
91053,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Estibadores,91002
91053,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,José de Jesús Panes,91002
91053,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Chulavista,91002
91054,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,3 de Mayo,91002
91055,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Guadalupe Rodríguez,91002
91055,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Salud,91002
91055,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Belisario Domínguez,91002
91055,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Unidad habitacional,Los Sauces,91002
91056,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Benito Juárez,91002
91056,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,El Tucán,91002
91057,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Coapexpan,91002
91060,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Unidad habitacional,Electricistas,91002
91060,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Ensueño,91002
91060,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Marco Antonio Muñoz,91002
91060,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Obreros Textiles,91002
91063,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,La Herradura,91002
91064,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Los Ángeles,91002
91064,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Tatahuicapan,91002
91065,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Lomas del Tejar,91002
91066,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Álvaro Obregón,91002
91067,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Unidad habitacional,Inmecafe,91002
91067,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,SAHOP,91002
91067,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Unidad habitacional,SIPEH Ánimas,91002
91067,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Residencial Atenas,91002
91067,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Colibris,91002
91067,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,San Francisco Ánimas,91002
91069,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Cuauhtémoc,91002
91070,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Adalberto Tejeda,91002
91070,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Francisco I Madero,91002
91070,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Venustiano Carranza,91002
91073,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,El Haya,91002
91073,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Marco Antonio Muñoz,91002
91073,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,El Haya,91002
91073,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Nuevo Coapexpan,91002
91075,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Libertad,91002
91075,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Reforma,91002
91075,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Ampliación Libertad,91002
91080,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Felipe Carrillo Puerto,91002
91083,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Buenavista,91002
91083,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Comunicaciones,91002
91084,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Unidad habitacional,Buenavista II,91002
91084,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Buenavista I,91002
91090,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Emiliano Zapata,91002
91090,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Isleta,91002
91090,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Lomas del Estadio,91002
91090,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Buenos Aires,91002
91090,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Paraíso,91002
91090,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Las Palmas,91002
91090,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,La Vista Residencial,91002
91090,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,La Morera,91002
91090,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Los Lagos,91002
91090,Veracruz de Ignacio de la Llave,Xalapa,,Ranchería,Las Lajas de Pacho,91002
91094,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Caminos,91002
91094,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Mártires de Chicago,91002
91094,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Villas del Carmen,91002
91094,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Villas de Loreto,91002
91094,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Bosque Real,91002
91094,Veracruz de Ignacio de la Llave,Xalapa,,Ranchería,Mártires de Chicago,91002
91095,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Campestre,91002
91095,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Lomas de la Gloria,91002
91095,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Lomas Del Paraíso,91002
91095,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Tulipanes,91002
91095,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Las Margaritas,91002
91095,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Santa Rosa,91002
91095,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Jardines de Santa Rosa,91002
91095,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Lomas las Margaritas,91002
91095,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Jardines de Santa Rosa Sección 2,91002
91095,Veracruz de Ignacio de la Llave,Xalapa,,Ranchería,Gobernadores,91002
91096,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Villa Centroamericana,91002
91096,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Moctezuma,91002
91096,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Reserva Territorial,91002
91096,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Santa Bárbara,91002
91096,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,FREDEPO,91002
91096,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Bosques de Las Lomas,91002
91097,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Bellavista,91002
91097,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Unidad habitacional,Del Valle,91002
91097,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Unidad habitacional,Xalapa 2000,91002
91097,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,La Loma,91002
91097,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,La Pradera,91002
91097,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Unidad habitacional,Nuevo Xalapa,91002
91098,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Unidad habitacional,Lomas Verdes,91002
91098,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Las Fuentes,91002
91098,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Los Cedros,91002
91098,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Zippor,91002
91098,Veracruz de Ignacio de la Llave,Xalapa,,Ranchería,Rancho Alegre,91002
91100,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Revolución,91002
91103,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Lucas Martín,91002
91103,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,El Naranjal de Agua Santa,91002
91104,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,México,91002
91104,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Valle de los Pinos,91002
91104,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Lomas de Sedeño,91002
91105,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Del Moral,91002
91106,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,José Vasconcelos,91002
91107,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Campo de Tiro,91002
91107,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Culturas Mexicanas,91002
91107,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Portón Colorado,91002
91107,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Obrero Mundial,91002
91107,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Internacional,91002
91107,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,16 de Septiembre,91002
91110,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Rafael Lucio,91002
91113,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Ruben Pabello Acosta,91002
91113,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Sostenes Mejia Blanco,91002
91114,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Los Prados,91002
91114,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Tabasco,91002
91119,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,La Lagunilla,91002
91120,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Ferrocarrilera,91002
91123,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Del Bosque Ferrocarrilero,91002
91123,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Unión Ferrocarrilera,91002
91123,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Héroes Ferrocarrileros,91002
91129,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Hogares Ferrocarrileros,91002
91130,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Progreso Macuiltepetl,91002
91133,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Aguacatal,91002
91133,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Laderas de Macuiltepetl,91002
91133,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Voceadores,91002
91140,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Juan de La Luz Enríquez,91002
91140,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Burócratas del Ayuntamiento,91002
91140,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Federal,91002
91143,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,7 de Noviembre,91002
91143,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Hidalgo,91002
91143,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Independencia,91002
91150,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Arboledas del Sumidero,91002
91150,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Predio de La Virgen,91002
91150,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Ampliación Predio de La Virgen,91002
91150,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,El Cafetal,91002
91150,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Valle de Cristal,91002
91152,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Reserva del Tronconal,91002
91152,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Lomas de Santa Fe,91002
91152,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Maver,91002
91152,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Arboledas de Troncal,91002
91152,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Aviación Civil,91002
91152,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,2 de Julio,91002
91152,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Heberto Castillo Martínez,91002
91152,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Las Torres,91002
91152,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Rafael Hernández Villalpando,91002
91152,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,12 de Diciembre,91002
91152,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Fraternidad Antorchista,91002
91153,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Nacional,91002
91153,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Floresta,91002
91153,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Las Águilas,91002
91153,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Las Brisas,91002
91153,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Encantos Del Sumidero,91002
91153,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Constitución Del Sumidero,91002
91153,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Vicente Guerrero,91002
91153,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,23 de Marzo,91002
91153,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Jardines de las Flores 2001,91002
91154,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Unidad habitacional,Sumidero INFONAVIT,91002
91154,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Bugambilias de Xalapa,91002
91154,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Continental,91002
91154,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Unidad habitacional,El Coyol,91002
91154,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Jardines del Castillo,91002
91154,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Sumidero,91002
91154,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Las Minas,91002
91154,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,El Arroyo,91002
91154,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Miradores del Sumidero,91002
91154,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,América,91002
